# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 298
#
# Samples: 26K of event 'cycles'
# Event count (approx.): 27671079937
#
# Overhead  Command          Shared Object                Symbol                                                   
# ........  ...............  ...........................  .........................................................
#
     0.01%  iperf3           [kernel.kallsyms]            [k] cgroup_rstat_updated
     0.01%  iperf3           [kernel.kallsyms]            [k] unfreeze_partials.isra.0
     0.01%  Xorg             i965_dri.so                  [.] 0x00000000000deb06
     0.01%  Xorg             libGLdispatch.so.0.0.0       [.] 0x0000000000040364
     0.01%  Xorg             [kernel.kallsyms]            [k] unix_stream_sendmsg
     0.01%  xfwm4            xfwm4                        [.] 0x000000000001b8cb
     0.01%  iperf3           [kernel.kallsyms]            [k] dst_alloc
     0.01%  iperf3           [kernel.kallsyms]            [k] hrtimer_interrupt
     0.01%  iperf3           libiperf.so.0.0.0            [.] 0x0000000000009234
     0.01%  Xorg             [kernel.kallsyms]            [k] update_curr
     0.01%  Web Content      libxul.so                    [.] 0x000000000097ae80
     0.01%  Xorg             [kernel.kallsyms]            [k] selinux_file_ioctl
     0.01%  iperf3           [kernel.kallsyms]            [k] clockevents_program_event
     0.01%  iperf3           [kernel.kallsyms]            [k] memset
     0.01%  ksoftirqd/3      [kernel.kallsyms]            [k] dst_destroy_rcu
     0.01%  Xorg             Xorg                         [.] ReadRequestFromClient
     0.01%  Xorg             [kernel.kallsyms]            [k] kmem_cache_alloc_node
     0.01%  iperf3           [kernel.kallsyms]            [k] 0x00007fffc13ee56d
     0.01%  iperf3           [kernel.kallsyms]            [k] netif_receive_skb_internal
     0.01%  swapper          [kernel.kallsyms]            [k] sched_ttwu_pending
     0.01%  swapper          [kernel.kallsyms]            [k] cpuidle_reflect
     0.01%  swapper          [kernel.kallsyms]            [k] __accumulate_pelt_segments
     0.01%  swapper          [kernel.kallsyms]            [k] local_touch_nmi
     0.01%  Xorg             Xorg                         [.] xf86Wakeup
     0.01%  iperf3           [kernel.kallsyms]            [k] set_fd_set.part.0
     0.01%  iperf3           [kernel.kallsyms]            [k] poll_select_set_timeout
     0.01%  iperf3           [kernel.kallsyms]            [k] sk_reset_timer
     0.01%  Xorg             i965_dri.so                  [.] 0x00000000000c2224
     0.01%  Xorg             [kernel.kallsyms]            [k] i915_gem_madvise_ioctl
     0.01%  iperf3           [kernel.kallsyms]            [k] default_wake_function
     0.01%  iperf3           [kernel.kallsyms]            [k] tcp_rate_gen
     0.01%  iperf3           [kernel.kallsyms]            [k] minmax_running_min
     0.01%  Xorg             libc-2.29.so                 [.] malloc_consolidate
     0.01%  Web Content      libxul.so                    [.] 0x0000000001802721
     0.01%  Xorg             [kernel.kallsyms]            [k] intel_engine_cmd_parser
     0.01%  Xorg             [kernel.kallsyms]            [k] enqueue_task_fair
     0.01%  iperf3           [kernel.kallsyms]            [k] 0x00007fffc13ee597
     0.01%  Xorg             libglapi.so.0.0.0            [.] 0x000000000000ce0b
     0.01%  xfwm4            libglib-2.0.so.0.6000.6      [.] g_slice_alloc
     0.00%  iperf3           [kernel.kallsyms]            [k] 0x00007fffc13ee566
     0.00%  Xorg             i965_dri.so                  [.] 0x00000000001cd77d
     0.00%  Xorg             i965_dri.so                  [.] 0x00000000000cc20c
     0.00%  ksoftirqd/2      [kernel.kallsyms]            [k] memcpy_erms
     0.00%  ksoftirqd/3      [kernel.kallsyms]            [k] rcu_cblist_dequeue
     0.00%  swapper          [kernel.kallsyms]            [k] can_stop_idle_tick.isra.0
     0.00%  swapper          [kernel.kallsyms]            [k] tick_program_event
     0.00%  xfwm4            [kernel.kallsyms]            [k] do_iter_readv_writev
     0.00%  iperf3           [kernel.kallsyms]            [k] rb_insert_color_cached
     0.00%  xfwm4            [kernel.kallsyms]            [k] update_blocked_averages
     0.00%  iperf3           [kernel.kallsyms]            [k] tcp6_gso_segment
     0.00%  Xorg             libc-2.29.so                 [.] cfree@GLIBC_2.2.5
     0.00%  Web Content      libxul.so                    [.] 0x00000000024c6bd5
     0.00%  swapper          [kernel.kallsyms]            [k] get_next_timer_interrupt
     0.00%  Xorg             [kernel.kallsyms]            [k] enqueue_entity
     0.00%  swapper          [kernel.kallsyms]            [k] rebalance_domains
     0.00%  Xorg             [kernel.kallsyms]            [k] mutex_lock_interruptible
     0.00%  iperf3           [kernel.kallsyms]            [k] nf_nat_ipv6_out
     0.00%  iperf3           [kernel.kallsyms]            [k] __x86_indirect_thunk_rcx
     0.00%  rcu_sched        [kernel.kallsyms]            [k] rcu_gp_kthread
     0.00%  swapper          [kernel.kallsyms]            [k] cpuidle_enter
     0.00%  iperf3           [kernel.kallsyms]            [k] native_write_msr
     0.00%  iperf3           [kernel.kallsyms]            [k] __remove_hrtimer
     0.00%  iperf3           [kernel.kallsyms]            [k] __wake_up_common_lock
     0.00%  nm-applet        libglib-2.0.so.0.6000.6      [.] g_hash_table_lookup
     0.00%  Xorg             libc-2.29.so                 [.] __strchrnul_sse2
     0.00%  iperf3           [kernel.kallsyms]            [k] get_task_policy.part.0
     0.00%  Xorg             Xorg                         [.] XaceHook
     0.00%  iperf3           [kernel.kallsyms]            [k] __fdget
     0.00%  panel-7-systeml  [kernel.kallsyms]            [k] strlen
     0.00%  iperf3           [kernel.kallsyms]            [k] napi_complete_done
     0.00%  iperf3           [kernel.kallsyms]            [k] tcp_rate_skb_sent
     0.00%  xfwm4            libglib-2.0.so.0.6000.6      [.] 0x000000000004d0c3
     0.00%  swapper          [kernel.kallsyms]            [k] tick_nohz_next_event
     0.00%  Xorg             [kernel.kallsyms]            [k] __pagevec_lru_add_fn
     0.00%  Xorg             libc-2.29.so                 [.] __vfprintf_internal
     0.00%  Xorg             libglapi.so.0.0.0            [.] 0x000000000000ce00
     0.00%  Xorg             Xorg                         [.] 0x0000000000140436
     0.00%  swapper          [kernel.kallsyms]            [k] tick_nohz_idle_exit
     0.00%  Xorg             [kernel.kallsyms]            [k] drm_property_change_valid_get
     0.00%  Xorg             [kernel.kallsyms]            [k] unix_write_space
     0.00%  iperf3           [kernel.kallsyms]            [k] tcp_rack_advance
     0.00%  xfce4-terminal   libvte-2.91.so.0.5600.3      [.] 0x0000000000026438
     0.00%  swapper          [kernel.kallsyms]            [k] interrupt_entry
     0.00%  iperf3           [kernel.kallsyms]            [k] schedule_hrtimeout_range
     0.00%  swapper          [kernel.kallsyms]            [k] nmi
     0.00%  iperf3           [kernel.kallsyms]            [k] napi_gro_complete
     0.00%  Xorg             [kernel.kallsyms]            [k] __alloc_skb
     0.00%  Xorg             [kernel.kallsyms]            [k] __mod_lruvec_state
     0.00%  Xorg             [kernel.kallsyms]            [k] __x86_indirect_thunk_rax
     0.00%  Xorg             [kernel.kallsyms]            [k] kmem_cache_alloc_trace
     0.00%  Xorg             Xorg                         [.] BlockHandler
     0.00%  firefox          libglib-2.0.so.0.6000.6      [.] g_mutex_lock
     0.00%  iperf3           libiperf.so.0.0.0            [.] 0x0000000000008d93
     0.00%  xfwm4            libglib-2.0.so.0.6000.6      [.] 0x000000000004d050
     0.00%  Xorg             i965_dri.so                  [.] 0x00000000000da4dd
     0.00%  iperf3           [vdso]                       [.] 0x0000000000000622
     0.00%  xfwm4            [kernel.kallsyms]            [k] __check_heap_object
     0.00%  Xorg             i965_dri.so                  [.] 0x00000000000eef55
     0.00%  xfwm4            i965_dri.so                  [.] 0x00000000001ffbcb
     0.00%  iperf3           [kernel.kallsyms]            [k] __napi_schedule
     0.00%  Xorg             [kernel.kallsyms]            [k] i915_gem_object_pin_to_display_plane
     0.00%  Xorg             [kernel.kallsyms]            [k] drm_ioctl_kernel
     0.00%  Xorg             [kernel.kallsyms]            [k] __hrtimer_run_queues
     0.00%  Xorg             [kernel.kallsyms]            [k] do_vfs_ioctl
     0.00%  Web Content      [kernel.kallsyms]            [k] sock_poll
     0.00%  ksoftirqd/1      [kernel.kallsyms]            [k] memcpy_erms
     0.00%  iperf3           [kernel.kallsyms]            [k] __x86_indirect_thunk_r9
     0.00%  Xorg             Xorg                         [.] 0x00000000000576c0
     0.00%  Xorg             i965_dri.so                  [.] 0x00000000001bc8b0
     0.00%  Xorg             [kernel.kallsyms]            [k] perf_event_task_tick
     0.00%  iperf3           [kernel.kallsyms]            [k] update_rt_rq_load_avg
     0.00%  Enpass           [kernel.kallsyms]            [k] __switch_to
     0.00%  Xorg             libGL.so.1.7.0               [.] glTexParameteri
     0.00%  Xorg             Xorg                         [.] 0x000000000013b6ce
     0.00%  Web Content      firefox                      [.] free
     0.00%  Xorg             i965_dri.so                  [.] 0x000000000059a1a8
     0.00%  Xorg             [kernel.kallsyms]            [k] drm_atomic_check_only
     0.00%  swapper          [kernel.kallsyms]            [k] raise_softirq
     0.00%  xfwm4            [kernel.kallsyms]            [k] drm_ioctl
     0.00%  iperf3           [kernel.kallsyms]            [k] cpuacct_account_field
     0.00%  xfce4-terminal   libcairo.so.2.11600.0        [.] 0x00000000000a17ab
     0.00%  Xorg             libglamoregl.so              [.] 0x00000000000254e2
     0.00%  iperf3           [kernel.kallsyms]            [k] activate_task
     0.00%  Xorg             [kernel.kallsyms]            [k] ep_poll
     0.00%  xfwm4            [kernel.kallsyms]            [k] pvclock_gtod_notify
     0.00%  swapper          [kernel.kallsyms]            [k] enqueue_task_fair
     0.00%  iperf3           [kernel.kallsyms]            [k] rcu_cblist_dequeue
     0.00%  Xorg             libpixman-1.so.0.38.0        [.] pixman_region_fini
     0.00%  kworker/1:2-eve  [kernel.kallsyms]            [k] wq_worker_running
     0.00%  iperf3           [kernel.kallsyms]            [k] lock_hrtimer_base.isra.0
     0.00%  firefox          libxul.so                    [.] 0x0000000003f29d3b
     0.00%  Xorg             [kernel.kallsyms]            [k] page_add_file_rmap
     0.00%  iperf3           [kernel.kallsyms]            [k] pvclock_gtod_notify
     0.00%  xfwm4            libpthread-2.29.so           [.] __pthread_mutex_lock
     0.00%  Xorg             i965_dri.so                  [.] 0x00000000002313e4
     0.00%  Xorg             [kernel.kallsyms]            [k] __x64_sys_epoll_ctl
     0.00%  iperf3           [kernel.kallsyms]            [k] apic_timer_interrupt
     0.00%  swapper          [kernel.kallsyms]            [k] native_irq_return_iret
     0.00%  Xorg             [kernel.kallsyms]            [k] drm_get_format_info
     0.00%  xfwm4            [kernel.kallsyms]            [k] i915_vma_move_to_active
     0.00%  xfwm4            [kernel.kallsyms]            [k] ring_request_alloc
     0.00%  swapper          [kernel.kallsyms]            [k] tick_nohz_idle_retain_tick
     0.00%  Xorg             [kernel.kallsyms]            [k] memcpy_erms
     0.00%  Xorg             libEGL_mesa.so.0.0.0         [.] 0x000000000000c4a0
     0.00%  Xorg             [kernel.kallsyms]            [k] memcg_kmem_get_cache
     0.00%  xfwm4            [kernel.kallsyms]            [k] update_rq_clock
     0.00%  iperf3           [kernel.kallsyms]            [k] tcp_newly_delivered
     0.00%  xfce4-terminal   libcairo.so.2.11600.0        [.] 0x0000000000028290
     0.00%  swapper          [kernel.kallsyms]            [k] rcu_report_qs_rnp
     0.00%  Web Content      firefox                      [.] malloc
     0.00%  xfwm4            [kernel.kallsyms]            [k] i915_gem_batch_pool_get
     0.00%  swapper          [kernel.kallsyms]            [k] update_dl_rq_load_avg
     0.00%  iperf3           [kernel.kallsyms]            [k] idle_cpu
     0.00%  iperf3           [kernel.kallsyms]            [k] fput
     0.00%  Xorg             i965_dri.so                  [.] 0x00000000000cb0d5
     0.00%  Xorg             i965_dri.so                  [.] 0x00000000000ca1ec
     0.00%  firefox          libxul.so                    [.] 0x0000000003f2eb10
     0.00%  Xorg             [kernel.kallsyms]            [k] migrate_task_rq_fair
     0.00%  Xorg             libdrm_nouveau.so.2.0.0      [.] 0x00000000000047f0
     0.00%  xfwm4            [kernel.kallsyms]            [k] irqtime_account_process_tick.isra.0
     0.00%  swapper          [kernel.kallsyms]            [k] scheduler_tick
     0.00%  xfwm4            [kernel.kallsyms]            [k] psi_task_change
     0.00%  Xorg             [kernel.kallsyms]            [k] add_rps_boost_after_vblank
     0.00%  Xorg             [kernel.kallsyms]            [k] intel_prepare_plane_fb
     0.00%  ActorThread      dropbox                      [.] _PyEval_EvalFrameDefault
     0.00%  xfwm4            [kernel.kallsyms]            [k] intel_engine_cmd_parser
     0.00%  xfwm4            libxcb.so.1.1.0              [.] 0x000000000000f48c
     0.00%  xfwm4            [kernel.kallsyms]            [k] __radix_tree_lookup
     0.00%  Gecko_IOThread   [kernel.kallsyms]            [k] psi_task_change
     0.00%  swapper          [kernel.kallsyms]            [k] update_irq_load_avg
     0.00%  Xorg             [kernel.kallsyms]            [k] dst_destroy
     0.00%  Xorg             [kernel.kallsyms]            [k] rcu_sched_clock_irq
     0.00%  firefox          libxul.so                    [.] 0x0000000003dbb7b5
     0.00%  xfwm4            libpthread-2.29.so           [.] __pthread_getspecific
     0.00%  swapper          [kernel.kallsyms]            [k] insert_work
     0.00%  swapper          [kernel.kallsyms]            [k] rcu_irq_enter
     0.00%  iperf3           [kernel.kallsyms]            [k] hrtimer_active
     0.00%  iperf3           libiperf.so.0.0.0            [.] 0x00000000000093c4
     0.00%  Xorg             libglapi.so.0.0.0            [.] 0x000000000000f020
     0.00%  Xorg             nouveau_dri.so               [.] 0x0000000000519450
     0.00%  Xorg             [kernel.kallsyms]            [k] ep_modify
     0.00%  panel-12-netloa  libgobject-2.0.so.0.6000.6   [.] g_type_value_table_peek
     0.00%  Xorg             i965_dri.so                  [.] 0x0000000000231206
     0.00%  swapper          [kernel.kallsyms]            [k] __hrtimer_next_event_base
     0.00%  Xorg             [kernel.kallsyms]            [k] __srcu_read_lock
     0.00%  xfce4-terminal   libvte-2.91.so.0.5600.3      [.] 0x00000000000359fb
     0.00%  Xorg             libGL.so.1.7.0               [.] glEnable
     0.00%  Xorg             [kernel.kallsyms]            [k] unix_stream_read_generic
     0.00%  panel-10-diskpe  [kernel.kallsyms]            [k] do_syscall_64
     0.00%  panel-10-diskpe  libc-2.29.so                 [.] malloc_consolidate
     0.00%  Xorg             i965_dri.so                  [.] 0x000000000059da8d
     0.00%  xfce4-terminal   libvte-2.91.so.0.5600.3      [.] 0x0000000000020a3c
     0.00%  firefox          libxul.so                    [.] 0x00000000008bba12
     0.00%  Xorg             [kernel.kallsyms]            [k] nmi
     0.00%  iperf3           [kernel.kallsyms]            [k] clear_buddies
     0.00%  Xorg             nouveau_dri.so               [.] 0x00000000000acea3
     0.00%  xfwm4            [kernel.kallsyms]            [k] __fget_light
     0.00%  iperf3           [vdso]                       [.] __vdso_gettimeofday
     0.00%  firefox          libxul.so                    [.] 0x00000000040c6104
     0.00%  swapper          [kernel.kallsyms]            [k] arch_cpu_idle_exit
     0.00%  swapper          [kernel.kallsyms]            [k] sched_clock_cpu
     0.00%  iperf3           [kernel.kallsyms]            [k] cpu_load_update_active
     0.00%  xfwm4            [kernel.kallsyms]            [k] i915_request_retire
     0.00%  Xorg             i965_dri.so                  [.] 0x00000000000c9c6f
     0.00%  Xorg             [kernel.kallsyms]            [k] security_compute_sid.part.0
     0.00%  iperf3           [kernel.kallsyms]            [k] ip6_input_finish
     0.00%  kworker/1:2-eve  [kernel.kallsyms]            [k] __sched_text_start
     0.00%  xfce4-terminal   [kernel.kallsyms]            [k] update_cfs_rq_h_load
     0.00%  xfwm4            [kernel.kallsyms]            [k] timerqueue_add
     0.00%  firefox          libxul.so                    [.] 0x00000000040d44ec
     0.00%  iperf3           [kernel.kallsyms]            [k] 0x00007fffc13ee5c7
     0.00%  Xorg             libEGL.so.1.1.0              [.] eglMakeCurrent
     0.00%  xfwm4            libglib-2.0.so.0.6000.6      [.] g_list_last
     0.00%  xfwm4            libc-2.29.so                 [.] malloc
     0.00%  panel-9-cpugrap  libXrender.so.1.3.0          [.] XRenderFindVisualFormat
     0.00%  Xorg             [kernel.kallsyms]            [k] __mod_memcg_state
     0.00%  Xorg             libc-2.29.so                 [.] __GI___writev
     0.00%  Xorg             [kernel.kallsyms]            [k] copy_user_generic_unrolled
     0.00%  firefox          libxul.so                    [.] 0x00000000042a6c4c
     0.00%  Xorg             [kernel.kallsyms]            [k] timerqueue_add
     0.00%  xfwm4            i965_dri.so                  [.] 0x00000000005d9733
     0.00%  Xorg             i965_dri.so                  [.] 0x00000000001ffbe4
     0.00%  ksoftirqd/2      [kernel.kallsyms]            [k] nmi
     0.00%  panel-9-cpugrap  libcairo.so.2.11600.0        [.] 0x0000000000080de2
     0.00%  panel-10-diskpe  [kernel.kallsyms]            [k] load_balance
     0.00%  firefox          libxul.so                    [.] 0x00000000008bb919
     0.00%  rcu_sched        [kernel.kallsyms]            [k] schedule_timeout
     0.00%  iperf3           [kernel.kallsyms]            [k] nohz_balance_exit_idle
     0.00%  panel-9-cpugrap  libgdk-x11-2.0.so.0.2400.32  [.] gdk_window_end_paint
     0.00%  xfwm4            libc-2.29.so                 [.] _int_malloc
     0.00%  firefox          firefox                      [.] 0x0000000000009d72
     0.00%  kworker/1:2-eve  [kernel.kallsyms]            [k] gen6_pm_rps_work
     0.00%  swapper          [kernel.kallsyms]            [k] intel_pmu_disable_all
     0.00%  Xorg             i965_dri.so                  [.] 0x00000000000ca593
     0.00%  Xorg             [kernel.kallsyms]            [k] _raw_spin_lock_irqsave
     0.00%  Xorg             libdrm.so.2.4.0              [.] drmIoctl
     0.00%  Xorg             libEGL.so.1.1.0              [.] 0x0000000000003494
     0.00%  Xorg             Xorg                         [.] 0x00000000001bae7e
     0.00%  Xorg             Xorg                         [.] 0x0000000000131390
     0.00%  swapper          [kernel.kallsyms]            [k] ntp_tick_length
     0.00%  Xorg             libc-2.29.so                 [.] __memset_sse2_unaligned_erms
     0.00%  xfwm4            [kernel.kallsyms]            [k] _copy_from_iter
     0.00%  ksoftirqd/2      [kernel.kallsyms]            [k] __list_del_entry_valid
     0.00%  Xorg             i965_dri.so                  [.] 0x000000000059a0bf
     0.00%  swapper          [kernel.kallsyms]            [k] __remove_hrtimer
     0.00%  iperf3           [kernel.kallsyms]            [k] fib6_clean_node
     0.00%  iperf3           [kernel.kallsyms]            [k] get_partial_node.isra.0.part.0
     0.00%  xfce4-terminal   libglib-2.0.so.0.6000.6      [.] g_string_insert_unichar
     0.00%  iperf3           [kernel.kallsyms]            [k] skb_split
     0.00%  swapper          [kernel.kallsyms]            [k] intel_pstate_update_util
     0.00%  iperf3           [kernel.kallsyms]            [k] handle_edge_irq
     0.00%  ksoftirqd/2      [kernel.kallsyms]            [k] veth_poll
     0.00%  xfwm4            [kernel.kallsyms]            [k] _raw_spin_lock_irqsave
     0.00%  Xorg             nouveau_dri.so               [.] 0x00000000005f9753
     0.00%  Xorg             libGLdispatch.so.0.0.0       [.] 0x000000000004484b
     0.00%  swapper          [kernel.kallsyms]            [k] irq_work_tick
     0.00%  iperf3           libiperf.so.0.0.0            [.] 0x00000000000096c3
     0.00%  swapper          [kernel.kallsyms]            [k] timekeeping_advance
     0.00%  iperf3           [kernel.kallsyms]            [k] __intel_pmu_enable_all.constprop.0
     0.00%  ksoftirqd/2      [kernel.kallsyms]            [k] __usecs_to_jiffies
     0.00%  Xorg             i965_dri.so                  [.] 0x00000000000caade
     0.00%  Web Content      libxul.so                    [.] 0x00000000043ede7d
     0.00%  iperf3           [kernel.kallsyms]            [k] napi_gro_flush
     0.00%  swapper          [kernel.kallsyms]            [k] call_cpuidle
     0.00%  swapper          [kernel.kallsyms]            [k] leave_mm
     0.00%  iperf3           [kernel.kallsyms]            [k] copyin
     0.00%  Xorg             i965_dri.so                  [.] 0x00000000000cc92d
     0.00%  iperf3           [kernel.kallsyms]            [k] 0x00007fffc13ee574
     0.00%  iperf3           [kernel.kallsyms]            [k] __radix_tree_lookup
     0.00%  ksoftirqd/2      [kernel.kallsyms]            [k] 0x00007fffc13ee570
     0.00%  Xorg             Xorg                         [.] 0x00000000000f7303
     0.00%  xfwm4            libglib-2.0.so.0.6000.6      [.] 0x000000000009a973
     0.00%  swapper          [kernel.kallsyms]            [k] x86_pmu_disable
     0.00%  Xorg             [kernel.kallsyms]            [k] select_task_rq_fair
     0.00%  Xorg             [kernel.kallsyms]            [k] sock_poll
     0.00%  Xorg             [kernel.kallsyms]            [k] try_to_wake_up
     0.00%  Xorg             libdrm.so.2.4.0              [.] drmCommandNone
     0.00%  iperf3           [kernel.kallsyms]            [k] gen6_read32
     0.00%  Xorg             [kernel.kallsyms]            [k] i915_gem_object_get_pages_gtt
     0.00%  Xorg             i965_dri.so                  [.] 0x000000000059f4ba
     0.00%  swapper          [kernel.kallsyms]            [k] nohz_balance_enter_idle
     0.00%  Xorg             Xorg                         [.] ResourceClientBits
     0.00%  xdp_load_and_st  [kernel.kallsyms]            [k] syscall_return_via_sysret
     0.00%  xfwm4            libdbus-1.so.3.19.11         [.] dbus_connection_get_dispatch_status
     0.00%  xfwm4            [kernel.kallsyms]            [k] do_iter_write
     0.00%  Xorg             [kernel.kallsyms]            [k] account_entity_enqueue
     0.00%  Xorg             [kernel.kallsyms]            [k] __handle_mm_fault
     0.00%  swapper          [kernel.kallsyms]            [k] _raw_spin_lock_irqsave
     0.00%  Xorg             libglamoregl.so              [.] 0x000000000000ad74
     0.00%  Xorg             [kernel.kallsyms]            [k] update_blocked_averages
     0.00%  xfwm4            libc-2.29.so                 [.] __poll
     0.00%  Web Content      [JIT] tid 2523               [.] 0x000032618d668ac0
     0.00%  Xorg             [kernel.kallsyms]            [k] gen7_render_get_cmd_length_mask
     0.00%  kworker/1:2-eve  [kernel.kallsyms]            [k] psi_task_change
     0.00%  Web Content      [kernel.kallsyms]            [k] ip_set_ref_lock+0x80000002db53
     0.00%  Xorg             Xorg                         [.] 0x000000000013c7b0
     0.00%  Xorg             [kernel.kallsyms]            [k] shmem_getpage_gfp
     0.00%  swapper          [kernel.kallsyms]            [k] irq_exit
     0.00%  Xorg             i965_dri.so                  [.] 0x00000000000df6da
     0.00%  swapper          [kernel.kallsyms]            [k] hrtimer_interrupt
     0.00%  Xorg             i965_dri.so                  [.] 0x00000000000ca1ff
     0.00%  Web Content      libxul.so                    [.] 0x000000000199c2a8
     0.00%  Xorg             libglamoregl.so              [.] 0x0000000000024d7e
     0.00%  firefox          [kernel.kallsyms]            [k] nmi
     0.00%  iperf3           [kernel.kallsyms]            [k] acct_account_cputime
     0.00%  Xorg             Xorg                         [.] 0x0000000000056058
     0.00%  Xorg             [kernel.kallsyms]            [k] cpu_stop_queue_work
     0.00%  Xorg             Xorg                         [.] 0x00000000001676c3
     0.00%  iperf3           [kernel.kallsyms]            [k] preempt_schedule_common
     0.00%  Xorg             libglamoregl.so              [.] 0x000000000000fa9a
     0.00%  Xorg             libglamoregl.so              [.] 0x00000000000161bb
     0.00%  Xorg             [kernel.kallsyms]            [k] irq_work_tick
     0.00%  Web Content      libxul.so                    [.] 0x000000000114b4d3
     0.00%  kworker/u16:0-e  [kernel.kallsyms]            [k] process_one_work
     0.00%  iperf3           [kernel.kallsyms]            [k] run_rebalance_domains
     0.00%  ksoftirqd/3      [kernel.kallsyms]            [k] dst_destroy
     0.00%  Xorg             [kernel.kallsyms]            [k] __i915_vma_retire
     0.00%  Xorg             Xorg                         [.] 0x00000000001307e3
     0.00%  kworker/1:2-eve  [kernel.kallsyms]            [k] load_balance
     0.00%  Xorg             [kernel.kallsyms]            [k] get_mem_cgroup_from_mm
     0.00%  Web Content      libxul.so                    [.] 0x0000000003037fbf
     0.00%  firefox          libxul.so                    [.] 0x00000000040adc65
     0.00%  Xorg             [kernel.kallsyms]            [k] kfree
     0.00%  Xorg             i965_dri.so                  [.] 0x000000000059dbc0
     0.00%  Xorg             [kernel.kallsyms]            [k] clear_page_erms
     0.00%  Xorg             [kernel.kallsyms]            [k] ksoftirqd_running
     0.00%  Xorg             [kernel.kallsyms]            [k] do_iter_readv_writev
     0.00%  Xorg             i965_dri.so                  [.] 0x000000000023142a
     0.00%  rcu_sched        [kernel.kallsyms]            [k] __switch_to
     0.00%  Xorg             [kernel.kallsyms]            [k] hrtimer_start_range_ns
     0.00%  Xorg             i965_dri.so                  [.] 0x00000000000e88ba
     0.00%  Xorg             i965_dri.so                  [.] 0x00000000000dc545
     0.00%  Web Content      libxul.so                    [.] 0x0000000003034fa3
     0.00%  Xorg             nouveau_dri.so               [.] 0x00000000000a7407
     0.00%  Xorg             Xorg                         [.] 0x00000000001310fc
     0.00%  Xorg             i965_dri.so                  [.] 0x00000000000e8941
     0.00%  firefox          libxul.so                    [.] 0x00000000040add04
     0.00%  Web Content      [kernel.kallsyms]            [k] update_cfs_rq_h_load
     0.00%  Web Content      libxul.so                    [.] 0x00000000008f32c1
     0.00%  Web Content      libpthread-2.29.so           [.] __pthread_getspecific
     0.00%  Web Content      libxul.so                    [.] 0x00000000030c1234
     0.00%  Xorg             i965_dri.so                  [.] 0x00000000000c8577
     0.00%  Xorg             [kernel.kallsyms]            [k] vmacache_find
     0.00%  migration/0      [kernel.kallsyms]            [k] active_load_balance_cpu_stop
     0.00%  Web Content      libxul.so                    [.] 0x0000000001986724
     0.00%  swapper          [kernel.kallsyms]            [k] __hrtimer_run_queues
     0.00%  firefox          firefox                      [.] 0x000000000000e7b3
     0.00%  Web Content      libxul.so                    [.] 0x00000000042d528b
     0.00%  iperf3           [kernel.kallsyms]            [k] security_socket_sendmsg
     0.00%  Xorg             libEGL_mesa.so.0.0.0         [.] 0x00000000000161be
     0.00%  ksoftirqd/2      [kernel.kallsyms]            [k] tcp_gro_receive
     0.00%  Xorg             i965_dri.so                  [.] 0x00000000000e3ad4
     0.00%  ksoftirqd/3      [kernel.kallsyms]            [k] _raw_spin_unlock_irqrestore
     0.00%  Xorg             [kernel.kallsyms]            [k] native_irq_return_iret
     0.00%  Web Content      firefox                      [.] 0x0000000000011641
     0.00%  xfwm4            libdbus-1.so.3.19.11         [.] _dbus_rmutex_lock
     0.00%  swapper          [kernel.kallsyms]            [k] timekeeping_update
     0.00%  Xorg             i965_dri.so                  [.] 0x00000000000e2e48
     0.00%  Xorg             modesetting_drv.so           [.] 0x0000000000014034
     0.00%  Xorg             [kernel.kallsyms]            [k] xas_start
     0.00%  panel-7-systeml  [kernel.kallsyms]            [k] skb_release_all
     0.00%  Web Content      libxul.so                    [.] 0x0000000002fbc743
     0.00%  iperf3           libiperf.so.0.0.0            [.] 0x0000000000008ed3
     0.00%  Xorg             i965_dri.so                  [.] 0x00000000001bca0a
     0.00%  Xorg             [kernel.kallsyms]            [k] cred_has_capability
     0.00%  Xorg             nouveau_dri.so               [.] 0x00000000005052d0
     0.00%  swapper          [kernel.kallsyms]            [k] tick_do_update_jiffies64.part.0
     0.00%  Web Content      libxul.so                    [.] 0x0000000003f34401
     0.00%  Web Content      libxul.so                    [.] 0x0000000000960ea0
     0.00%  Xorg             i965_dri.so                  [.] 0x00000000000dc53d
     0.00%  Xorg             i965_dri.so                  [.] 0x000000000059fce3
     0.00%  xfwm4            i965_dri.so                  [.] 0x00000000000d16fc
     0.00%  rcu_sched        [kernel.kallsyms]            [k] dequeue_task_fair
     0.00%  Web Content      libxul.so                    [.] 0x000000000301c6f2
     0.00%  Xorg             Xorg                         [.] 0x00000000000f007b
     0.00%  Web Content      libxul.so                    [.] 0x0000000000e180aa
     0.00%  Xorg             i965_dri.so                  [.] memcmp@plt
     0.00%  Xorg             libEGL_mesa.so.0.0.0         [.] 0x000000000001766b
     0.00%  iperf3           [kernel.kallsyms]            [k] new_sync_write
     0.00%  Web Content      libxul.so                    [.] 0x0000000004162ffc
     0.00%  Xorg             libEGL_mesa.so.0.0.0         [.] 0x000000000001cbf6
     0.00%  Web Content      libxul.so                    [.] 0x000000000309bc38
     0.00%  ksoftirqd/3      [kernel.kallsyms]            [k] __build_skb
     0.00%  xfwm4            [kernel.kallsyms]            [k] __update_load_avg_cfs_rq
