# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 223
#
# Samples: 27K of event 'cycles'
# Event count (approx.): 25727937029
#
# Overhead  Command          Shared Object                            Symbol                                                   
# ........  ...............  .......................................  .........................................................
#
     0.02%  iperf3           [kernel.kallsyms]                        [k] __zone_watermark_ok
     0.02%  swapper          [kernel.kallsyms]                        [k] raise_softirq
     0.02%  ksoftirqd/0      [kernel.kallsyms]                        [k] ntp_tick_length
     0.01%  rcu_sched        [kernel.kallsyms]                        [k] update_min_vruntime
     0.01%  ksoftirqd/3      [kernel.kallsyms]                        [k] __list_del_entry_valid
     0.01%  swapper          [kernel.kallsyms]                        [k] __slab_free
     0.01%  iperf3           [kernel.kallsyms]                        [k] ipv6_conntrack_in
     0.01%  iperf3           [kernel.kallsyms]                        [k] set_normalized_timespec64
     0.01%  swapper          [kernel.kallsyms]                        [k] cpuidle_not_available
     0.01%  swapper          [kernel.kallsyms]                        [k] scheduler_tick
     0.01%  iperf3           [kernel.kallsyms]                        [k] _raw_spin_unlock_bh
     0.01%  iperf3           [kernel.kallsyms]                        [k] __cgroup_account_cputime
     0.01%  iperf3           [kernel.kallsyms]                        [k] free_compound_page
     0.01%  Xorg             i965_dri.so                              [.] 0x00000000005a04fc
     0.01%  swapper          [kernel.kallsyms]                        [k] update_load_avg
     0.01%  ksoftirqd/3      [kernel.kallsyms]                        [k] prep_new_page
     0.01%  swapper          [kernel.kallsyms]                        [k] memcpy_erms
     0.01%  ksoftirqd/0      [kernel.kallsyms]                        [k] 0x00007fffc13eeace
     0.01%  iperf3           [kernel.kallsyms]                        [k] skb_push
     0.01%  ksoftirqd/0      [kernel.kallsyms]                        [k] inet6_ehashfn
     0.01%  ksoftirqd/1      [kernel.kallsyms]                        [k] selinux_peerlbl_enabled
     0.01%  iperf3           [kernel.kallsyms]                        [k] enqueue_entity
     0.01%  ksoftirqd/0      [kernel.kallsyms]                        [k] raw6_local_deliver
     0.01%  iperf3           [kernel.kallsyms]                        [k] hrtimer_start_range_ns
     0.01%  ksoftirqd/1      [kernel.kallsyms]                        [k] __list_del_entry_valid
     0.01%  iperf3           libiperf.so.0.0.0                        [.] iperf_send
     0.01%  iperf3           [kernel.kallsyms]                        [k] tcp_data_queue
     0.01%  ksoftirqd/2      [kernel.kallsyms]                        [k] ip6_rcv_finish_core.isra.0
     0.01%  ksoftirqd/1      [kernel.kallsyms]                        [k] percpu_array_map_lookup_elem
     0.01%  iperf3           [kernel.kallsyms]                        [k] __kfree_skb_flush
     0.01%  iperf3           [kernel.kallsyms]                        [k] sk_stream_alloc_skb
     0.01%  ksoftirqd/1      [kernel.kallsyms]                        [k] queued_spin_lock_slowpath
     0.01%  swapper          [kernel.kallsyms]                        [k] rcu_eqs_enter.constprop.0
     0.01%  iperf3           [kernel.kallsyms]                        [k] enqueue_task_fair
     0.01%  iperf3           [kernel.kallsyms]                        [k] idle_cpu
     0.01%  iperf3           [kernel.kallsyms]                        [k] poll_select_set_timeout
     0.01%  swapper          [kernel.kallsyms]                        [k] tick_nohz_next_event
     0.01%  ksoftirqd/0      [kernel.kallsyms]                        [k] __list_add_valid
     0.01%  iperf3           [kernel.kallsyms]                        [k] put_cpu_partial
     0.01%  swapper          [kernel.kallsyms]                        [k] load_balance
     0.01%  swapper          [kernel.kallsyms]                        [k] native_apic_mem_write
     0.01%  iperf3           [kernel.kallsyms]                        [k] sched_clock_cpu
     0.01%  ksoftirqd/3      [kernel.kallsyms]                        [k] napi_gro_receive
     0.01%  ksoftirqd/1      [kernel.kallsyms]                        [k] __build_skb_around
     0.01%  ksoftirqd/3      [kernel.kallsyms]                        [k] sk_filter_trim_cap
     0.01%  Xorg             libc-2.29.so                             [.] __memcmp_sse4_1
     0.01%  Xorg             Xorg                                     [.] 0x000000000013771b
     0.01%  ksoftirqd/1      [kernel.kallsyms]                        [k] skb_release_head_state
     0.01%  swapper          [kernel.kallsyms]                        [k] __hrtimer_next_event_base
     0.01%  ksoftirqd/0      [kernel.kallsyms]                        [k] ip6t_do_table
     0.01%  swapper          [kernel.kallsyms]                        [k] selinux_socket_sock_rcv_skb
     0.01%  iperf3           [kernel.kallsyms]                        [k] ip6table_security_hook
     0.01%  ksoftirqd/0      [kernel.kallsyms]                        [k] alloc_pages_current
     0.01%  iperf3           [kernel.kallsyms]                        [k] finish_task_switch
     0.01%  ksoftirqd/3      [kernel.kallsyms]                        [k] __list_add_valid
     0.01%  panel-12-netloa  libpango-1.0.so.0.4300.0                 [.] 0x000000000000da13
     0.01%  swapper          [kernel.kallsyms]                        [k] kmem_cache_free
     0.01%  iperf3           [kernel.kallsyms]                        [k] tcp_event_new_data_sent
     0.01%  swapper          [kernel.kallsyms]                        [k] cpuidle_governor_latency_req
     0.01%  iperf3           [kernel.kallsyms]                        [k] inet_recvmsg
     0.01%  Xorg             Xorg                                     [.] ResourceClientBits
     0.01%  swapper          [kernel.kallsyms]                        [k] set_next_entity
     0.01%  Xorg             libc-2.29.so                             [.] _int_malloc
     0.01%  Xorg             libfb.so                                 [.] _fbGetWindowPixmap
     0.01%  panel-9-cpugrap  libgobject-2.0.so.0.6000.6               [.] g_type_check_instance_cast
     0.01%  iperf3           [kernel.kallsyms]                        [k] poll_freewait
     0.01%  iperf3           [kernel.kallsyms]                        [k] ipv6_gso_pull_exthdrs
     0.01%  ksoftirqd/0      [kernel.kallsyms]                        [k] ip6_dst_destroy
     0.01%  swapper          [kernel.kallsyms]                        [k] load_new_mm_cr3
     0.01%  iperf3           [kernel.kallsyms]                        [k] __switch_to_asm
     0.01%  iperf3           [kernel.kallsyms]                        [k] tcp_validate_incoming
     0.01%  ksoftirqd/2      [kernel.kallsyms]                        [k] netif_receive_skb_internal
     0.01%  Xorg             [kernel.kallsyms]                        [k] __drm_mode_object_find
     0.01%  ksoftirqd/3      [kernel.kallsyms]                        [k] ip6t_do_table
     0.01%  ksoftirqd/1      [kernel.kallsyms]                        [k] skb_copy_bits
     0.01%  iperf3           [kernel.kallsyms]                        [k] pollwake
     0.01%  iperf3           [kernel.kallsyms]                        [k] minmax_subwin_update
     0.01%  ksoftirqd/2      [kernel.kallsyms]                        [k] skb_defer_rx_timestamp
     0.01%  iperf3           libc-2.29.so                             [.] __GI___libc_write
     0.01%  swapper          [kernel.kallsyms]                        [k] __switch_to_asm
     0.01%  swapper          [kernel.kallsyms]                        [k] __x86_indirect_thunk_rax
     0.01%  ksoftirqd/2      [kernel.kallsyms]                        [k] __x86_indirect_thunk_rax
     0.01%  ksoftirqd/2      [kernel.kallsyms]                        [k] kfree_skb_partial
     0.01%  iperf3           [kernel.kallsyms]                        [k] __kfree_skb
     0.01%  Xorg             libglamoregl.so                          [.] 0x000000000000faeb
     0.01%  ksoftirqd/2      [kernel.kallsyms]                        [k] skb_put
     0.01%  ksoftirqd/1      [kernel.kallsyms]                        [k] tcp_parse_md5sig_option
     0.01%  ksoftirqd/2      [kernel.kallsyms]                        [k] ip6_input_finish
     0.01%  ksoftirqd/3      [kernel.kallsyms]                        [k] __x86_indirect_thunk_rax
     0.01%  Xorg             i965_dri.so                              [.] 0x00000000000e1175
     0.01%  ksoftirqd/2      [kernel.kallsyms]                        [k] alloc_pages_current
     0.01%  swapper          [kernel.kallsyms]                        [k] find_next_and_bit
     0.01%  ksoftirqd/0      [kernel.kallsyms]                        [k] selinux_peerlbl_enabled
     0.01%  Xorg             [kernel.kallsyms]                        [k] nmi
     0.01%  xfwm4            [kernel.kallsyms]                        [k] update_group_capacity
     0.01%  ksoftirqd/2      [kernel.kallsyms]                        [k] policy_node
     0.01%  ksoftirqd/2      [kernel.kallsyms]                        [k] ip6_xmit
     0.01%  iperf3           [kernel.kallsyms]                        [k] put_prev_task_fair
     0.01%  Xorg             [kernel.kallsyms]                        [k] i915_vma_instance
     0.01%  ksoftirqd/3      [kernel.kallsyms]                        [k] rcu_cblist_dequeue
     0.01%  ksoftirqd/3      [kernel.kallsyms]                        [k] tcp_parse_md5sig_option
     0.01%  iperf3           [kernel.kallsyms]                        [k] policy_node
     0.01%  ksoftirqd/2      [kernel.kallsyms]                        [k] should_failslab
     0.01%  ksoftirqd/1      [kernel.kallsyms]                        [k] netif_receive_skb_internal
     0.01%  iperf3           [kernel.kallsyms]                        [k] tcp_send_mss
     0.01%  iperf3           [kernel.kallsyms]                        [k] skb_defer_rx_timestamp
     0.01%  iperf3           [kernel.kallsyms]                        [k] rcu_cblist_dequeue
     0.01%  ksoftirqd/3      [kernel.kallsyms]                        [k] should_failslab
     0.01%  iperf3           libiperf.so.0.0.0                        [.] 0x0000000000009064
     0.01%  ksoftirqd/3      [kernel.kallsyms]                        [k] tcp_rcv_established
     0.01%  xfce4-terminal   libcairo.so.2.11600.0                    [.] 0x000000000006a79e
     0.01%  ksoftirqd/2      [kernel.kallsyms]                        [k] __list_add_valid
     0.01%  swapper          [kernel.kallsyms]                        [k] timerqueue_add
     0.01%  ksoftirqd/0      [kernel.kallsyms]                        [k] sock_put
     0.01%  xfwm4            [kernel.kallsyms]                        [k] _raw_spin_lock_irqsave
     0.01%  ksoftirqd/3      [kernel.kallsyms]                        [k] selinux_socket_sock_rcv_skb
     0.01%  ksoftirqd/2      [kernel.kallsyms]                        [k] build_skb
     0.01%  iperf3           [kernel.kallsyms]                        [k] update_fast_timekeeper
     0.01%  Xorg             [kernel.kallsyms]                        [k] entry_SYSCALL_64
     0.01%  ksoftirqd/3      [kernel.kallsyms]                        [k] ip6_rcv_finish_core.isra.0
     0.01%  ksoftirqd/3      [kernel.kallsyms]                        [k] netlbl_enabled
     0.01%  ksoftirqd/0      [kernel.kallsyms]                        [k] 0x00007fffc13eead5
     0.01%  swapper          [kernel.kallsyms]                        [k] rcu_core
     0.01%  iperf3           [kernel.kallsyms]                        [k] ip6_input_finish
     0.01%  Xorg             [kernel.kallsyms]                        [k] do_vfs_ioctl
     0.01%  ksoftirqd/1      [kernel.kallsyms]                        [k] __alloc_pages_nodemask
     0.01%  swapper          [kernel.kallsyms]                        [k] can_stop_idle_tick.isra.0
     0.01%  ksoftirqd/3      [kernel.kallsyms]                        [k] skb_copy_header
     0.01%  swapper          [kernel.kallsyms]                        [k] native_write_msr
     0.01%  swapper          [kernel.kallsyms]                        [k] pm_qos_read_value
     0.01%  iperf3           [kernel.kallsyms]                        [k] rcu_sched_clock_irq
     0.01%  ksoftirqd/1      [kernel.kallsyms]                        [k] ip6_input_finish
     0.01%  xfwm4            [kernel.kallsyms]                        [k] unix_poll
     0.01%  iperf3           [kernel.kallsyms]                        [k] osl_readl
     0.01%  ksoftirqd/2      [kernel.kallsyms]                        [k] tcp_send_delayed_ack
     0.01%  ksoftirqd/1      [kernel.kallsyms]                        [k] memcmp
     0.01%  iperf3           [kernel.kallsyms]                        [k] rcu_irq_enter
     0.01%  ksoftirqd/1      [kernel.kallsyms]                        [k] skb_copy_header
     0.01%  swapper          [kernel.kallsyms]                        [k] tick_nohz_get_sleep_length
     0.01%  iperf3           [kernel.kallsyms]                        [k] fl6_update_dst
     0.01%  iperf3           [kernel.kallsyms]                        [k] smp_apic_timer_interrupt
     0.01%  iperf3           [kernel.kallsyms]                        [k] schedule_hrtimeout_range_clock
     0.01%  iperf3           libiperf.so.0.0.0                        [.] tmr_timeout
     0.01%  iperf3           [kernel.kallsyms]                        [k] fput_many
     0.01%  swapper          [kernel.kallsyms]                        [k] need_update
     0.01%  iperf3           libc-2.29.so                             [.] __errno_location
     0.01%  Xorg             libc-2.29.so                             [.] _int_free
     0.01%  ksoftirqd/2      [kernel.kallsyms]                        [k] selinux_peerlbl_enabled
     0.01%  Xorg             [kernel.kallsyms]                        [k] drm_ioctl
     0.01%  iperf3           [kernel.kallsyms]                        [k] update_sd_lb_stats
     0.01%  Xorg             i965_dri.so                              [.] 0x00000000001d6883
     0.01%  ksoftirqd/2      [kernel.kallsyms]                        [k] skb_free_head
     0.01%  swapper          [kernel.kallsyms]                        [k] pick_next_entity
     0.01%  iperf3           [vdso]                                   [.] __vdso_gettimeofday
     0.01%  swapper          [kernel.kallsyms]                        [k] schedule_idle
     0.01%  ksoftirqd/3      [kernel.kallsyms]                        [k] security_sock_rcv_skb
     0.01%  swapper          [kernel.kallsyms]                        [k] native_irq_return_iret
     0.01%  iperf3           [kernel.kallsyms]                        [k] find_suitable_fallback
     0.01%  Xorg             Xorg                                     [.] 0x00000000000f0010
     0.01%  Xorg             [kernel.kallsyms]                        [k] avc_has_perm
     0.01%  ksoftirqd/0      [kernel.kallsyms]                        [k] ip6_rcv_finish_core.isra.0
     0.01%  Xorg             Xorg                                     [.] 0x0000000000139690
     0.01%  Xorg             Xorg                                     [.] WaitForSomething
     0.01%  ksoftirqd/1      [kernel.kallsyms]                        [k] __inc_numa_state
     0.01%  iperf3           [kernel.kallsyms]                        [k] sock_recvmsg
     0.01%  ksoftirqd/2      [kernel.kallsyms]                        [k] raw6_local_deliver
     0.01%  swapper          [kernel.kallsyms]                        [k] tick_nohz_tick_stopped
     0.01%  iperf3           [kernel.kallsyms]                        [k] pick_next_task_idle
     0.01%  iperf3           [kernel.kallsyms]                        [k] put_prev_entity
     0.01%  xfwm4            libgdk-3.so.0.2404.6                     [.] 0x0000000000067c1b
     0.01%  iperf3           [kernel.kallsyms]                        [k] copyin
     0.01%  iperf3           [kernel.kallsyms]                        [k] place_entity
     0.01%  ksoftirqd/2      [kernel.kallsyms]                        [k] skb_release_all
     0.01%  ksoftirqd/2      [kernel.kallsyms]                        [k] timerqueue_add
     0.01%  kworker/u16:0-e  [kernel.kallsyms]                        [k] __sched_text_start
     0.01%  iperf3           [kernel.kallsyms]                        [k] skb_mac_gso_segment
     0.01%  iperf3           [kernel.kallsyms]                        [k] tcp_cong_avoid_ai
     0.01%  iperf3           libiperf.so.0.0.0                        [.] 0x0000000000009234
     0.01%  ksoftirqd/2      [kernel.kallsyms]                        [k] tcp_parse_md5sig_option
     0.01%  iperf3           [kernel.kallsyms]                        [k] dequeue_entity
     0.01%  ksoftirqd/1      [kernel.kallsyms]                        [k] napi_gro_receive
     0.01%  iperf3           [kernel.kallsyms]                        [k] nf_nat_ipv6_local_fn
     0.01%  ksoftirqd/2      [kernel.kallsyms]                        [k] skb_copy_header
     0.01%  kworker/u16:0-e  [kernel.kallsyms]                        [k] try_to_wake_up
     0.01%  swapper          [kernel.kallsyms]                        [k] wl_timer
     0.01%  swapper          [kernel.kallsyms]                        [k] put_prev_task_idle
     0.01%  ksoftirqd/2      [kernel.kallsyms]                        [k] memcpy
     0.01%  iperf3           [kernel.kallsyms]                        [k] reweight_entity
     0.01%  ksoftirqd/1      [kernel.kallsyms]                        [k] rt6_uncached_list_del
     0.01%  xfwm4            libdbus-1.so.3.19.11                     [.] dbus_connection_get_dispatch_status
     0.01%  ksoftirqd/0      [kernel.kallsyms]                        [k] memcg_kmem_put_cache
     0.01%  Xorg             [kernel.kallsyms]                        [k] lapic_next_deadline
     0.01%  ksoftirqd/0      [kernel.kallsyms]                        [k] dev_gro_receive
     0.01%  swapper          [kernel.kallsyms]                        [k] rcu_needs_cpu
     0.01%  iperf3           [kernel.kallsyms]                        [k] tcp_collapse
     0.01%  Xorg             [kernel.kallsyms]                        [k] __radix_tree_lookup
     0.01%  ksoftirqd/0      [kernel.kallsyms]                        [k] __build_skb_around
     0.01%  iperf3           [kernel.kallsyms]                        [k] tcp_rate_gen
     0.01%  xfwm4            [kernel.kallsyms]                        [k] __update_load_avg_cfs_rq
     0.01%  ksoftirqd/1      [kernel.kallsyms]                        [k] consume_skb
     0.01%  iperf3           [kernel.kallsyms]                        [k] security_socket_sendmsg
     0.01%  ksoftirqd/2      [kernel.kallsyms]                        [k] skb_gro_reset_offset
     0.01%  swapper          [kernel.kallsyms]                        [k] __switch_to
     0.01%  swapper          [kernel.kallsyms]                        [k] queued_spin_lock_slowpath
     0.01%  ksoftirqd/2      [kernel.kallsyms]                        [k] dst_destroy
     0.01%  iperf3           [kernel.kallsyms]                        [k] available_idle_cpu
     0.01%  xfwm4            [kernel.kallsyms]                        [k] get_mem_cgroup_from_mm
     0.01%  iperf3           [kernel.kallsyms]                        [k] __fib6_clean_all
     0.01%  iperf3           [kernel.kallsyms]                        [k] enqueue_timer
     0.01%  ksoftirqd/3      [kernel.kallsyms]                        [k] queued_spin_lock_slowpath
     0.01%  ksoftirqd/1      [kernel.kallsyms]                        [k] page_frag_free
     0.01%  ksoftirqd/1      [kernel.kallsyms]                        [k] tcp_v6_fill_cb
     0.01%  iperf3           [kernel.kallsyms]                        [k] __x86_indirect_thunk_rbp
     0.01%  ksoftirqd/0      [kernel.kallsyms]                        [k] skb_release_all
     0.01%  xfwm4            [kernel.kallsyms]                        [k] enqueue_to_backlog
     0.01%  ksoftirqd/0      [kernel.kallsyms]                        [k] consume_skb
     0.01%  ksoftirqd/1      [kernel.kallsyms]                        [k] sk_free
     0.01%  Xorg             libglamoregl.so                          [.] 0x000000000000faf3
     0.01%  Xorg             [kernel.kallsyms]                        [k] sock_poll
     0.01%  ksoftirqd/2      [kernel.kallsyms]                        [k] skb_headers_offset_update
     0.01%  iperf3           [kernel.kallsyms]                        [k] tick_sched_handle
     0.01%  iperf3           [kernel.kallsyms]                        [k] trigger_load_balance
     0.01%  ksoftirqd/0      [kernel.kallsyms]                        [k] skb_put
     0.01%  iperf3           [kernel.kallsyms]                        [k] sock_write_iter
     0.01%  swapper          [kernel.kallsyms]                        [k] percpu_counter_add_batch
     0.01%  swapper          [kernel.kallsyms]                        [k] cpu_load_update_active
     0.01%  Xorg             [kernel.kallsyms]                        [k] i915_gem_do_execbuffer
     0.01%  iperf3           [kernel.kallsyms]                        [k] intel_pstate_update_util
     0.01%  iperf3           [kernel.kallsyms]                        [k] __update_idle_core
     0.01%  ksoftirqd/3      [kernel.kallsyms]                        [k] memcg_kmem_put_cache
     0.01%  Xorg             libglapi.so.0.0.0                        [.] 0x000000000000ce00
     0.01%  ksoftirqd/1      [kernel.kallsyms]                        [k] skb_try_coalesce
     0.01%  iperf3           [kernel.kallsyms]                        [k] ip6_route_lookup
     0.01%  Xorg             [kernel.kallsyms]                        [k] unix_stream_sendmsg
     0.01%  xfce4-terminal   libvte-2.91.so.0.5600.3                  [.] 0x000000000001d596
     0.01%  iperf3           [kernel.kallsyms]                        [k] tcp6_gso_segment
     0.01%  iperf3           [kernel.kallsyms]                        [k] napi_schedule_prep
     0.01%  iperf3           [kernel.kallsyms]                        [k] _copy_to_user
     0.01%  iperf3           [kernel.kallsyms]                        [k] rb_insert_color
     0.01%  ksoftirqd/0      [kernel.kallsyms]                        [k] skb_headers_offset_update
     0.01%  ksoftirqd/3      [kernel.kallsyms]                        [k] __netif_receive_skb_one_core
     0.01%  ksoftirqd/2      [kernel.kallsyms]                        [k] nf_hook_slow
     0.01%  ksoftirqd/1      [kernel.kallsyms]                        [k] ipv6_rcv
     0.01%  iperf3           [kernel.kallsyms]                        [k] resched_curr
     0.01%  xfce4-terminal   libXrender.so.1.3.0                      [.] XRenderCompositeText8
     0.01%  swapper          [kernel.kallsyms]                        [k] update_sd_lb_stats
     0.01%  ksoftirqd/0      [kernel.kallsyms]                        [k] __inc_numa_state
     0.01%  xfwm4            [kernel.kallsyms]                        [k] avc_has_perm
     0.01%  ksoftirqd/2      [kernel.kallsyms]                        [k] tcp_filter
     0.01%  Timer            [kernel.kallsyms]                        [k] futex_wake
     0.01%  iperf3           [kernel.kallsyms]                        [k] new_sync_write
     0.01%  ksoftirqd/0      [kernel.kallsyms]                        [k] __free_pages_ok
     0.01%  xfce4-terminal   libc-2.29.so                             [.] __memmove_sse2_unaligned_erms
     0.01%  Xorg             Xorg                                     [.] 0x000000000013b5e3
     0.01%  Web Content      libxul.so                                [.] 0x0000000001165cf3
     0.01%  ksoftirqd/3      [kernel.kallsyms]                        [k] raw6_local_deliver
     0.01%  iperf3           [kernel.kallsyms]                        [k] sk_stream_write_space
     0.01%  iperf3           [kernel.kallsyms]                        [k] prep_compound_page
     0.01%  Xorg             [kernel.kallsyms]                        [k] _raw_spin_lock_irq
     0.01%  Xorg             libGL.so.1.7.0                           [.] glFlush
     0.01%  swapper          [kernel.kallsyms]                        [k] irq_work_needs_cpu
     0.01%  Xorg             libc-2.29.so                             [.] __vfprintf_internal
     0.01%  Xorg             [kernel.kallsyms]                        [k] security_file_ioctl
     0.01%  iperf3           [kernel.kallsyms]                        [k] __wake_up_common
     0.01%  xfwm4            [kernel.kallsyms]                        [k] update_blocked_averages
     0.01%  iperf3           [kernel.kallsyms]                        [k] calc_wheel_index
     0.01%  iperf3           [kernel.kallsyms]                        [k] rt6_uncached_list_del
     0.01%  iperf3           [kernel.kallsyms]                        [k] tcp_chrono_stop
     0.01%  iperf3           [kernel.kallsyms]                        [k] __skb_clone
     0.01%  iperf3           [kernel.kallsyms]                        [k] selinux_socket_recvmsg
     0.01%  iperf3           [kernel.kallsyms]                        [k] switch_fpu_return
     0.01%  iperf3           [kernel.kallsyms]                        [k] cpuacct_account_field
     0.01%  ksoftirqd/3      [kernel.kallsyms]                        [k] read_tsc
     0.01%  iperf3           [kernel.kallsyms]                        [k] tcp_rack_update_reo_wnd
     0.01%  iperf3           [kernel.kallsyms]                        [k] timespec64_add_safe
     0.01%  iperf3           libiperf.so.0.0.0                        [.] iperf_run_client
     0.01%  swapper          [kernel.kallsyms]                        [k] local_touch_nmi
     0.01%  rcu_sched        [kernel.kallsyms]                        [k] rcu_gp_kthread
     0.01%  iperf3           [kernel.kallsyms]                        [k] trigger_dyntick_cpu.isra.0
     0.01%  Xorg             modesetting_drv.so                       [.] 0x000000000000c7da
     0.01%  rcu_sched        [kernel.kallsyms]                        [k] try_to_del_timer_sync
     0.01%  iperf3           [kernel.kallsyms]                        [k] deactivate_task
     0.01%  ksoftirqd/2      [kernel.kallsyms]                        [k] tick_sched_timer
     0.01%  xfce4-terminal   libglib-2.0.so.0.6000.6                  [.] g_array_append_vals
     0.01%  ksoftirqd/2      [kernel.kallsyms]                        [k] unfreeze_partials.isra.0
     0.01%  iperf3           [kernel.kallsyms]                        [k] tcp_push
     0.01%  iperf3           [kernel.kallsyms]                        [k] ipv6_conntrack_local
     0.01%  swapper          [kernel.kallsyms]                        [k] run_timer_softirq
     0.01%  iperf3           [kernel.kallsyms]                        [k] x86_pmu_disable
     0.01%  Xorg             [kernel.kallsyms]                        [k] unix_stream_read_generic
     0.01%  swapper          [kernel.kallsyms]                        [k] place_entity
     0.01%  xfce4-terminal   libvte-2.91.so.0.5600.3                  [.] 0x00000000000206e4
     0.01%  iperf3           [kernel.kallsyms]                        [k] __tcp_push_pending_frames
     0.01%  Xorg             Xorg                                     [.] FreeResource
     0.01%  panel-12-netloa  libharfbuzz.so.0.20301.0                 [.] 0x000000000006e3a3
     0.01%  Xorg             Xorg                                     [.] 0x00000000000ed4fa
     0.01%  iperf3           [kernel.kallsyms]                        [k] tcp_tx_timestamp
     0.01%  Xorg             [kernel.kallsyms]                        [k] rcu_all_qs
     0.01%  iperf3           [kernel.kallsyms]                        [k] detach_if_pending
     0.01%  swapper          [kernel.kallsyms]                        [k] perf_event_task_tick
     0.01%  ksoftirqd/2      [kernel.kallsyms]                        [k] nf_ct_deliver_cached_events
     0.01%  ksoftirqd/2      [kernel.kallsyms]                        [k] trigger_load_balance
     0.01%  swapper          [kernel.kallsyms]                        [k] native_sched_clock
     0.01%  panel-12-netloa  libX11.so.6.3.0                          [.] 0x0000000000020493
     0.01%  ksoftirqd/0      [kernel.kallsyms]                        [k] __tcp_select_window
     0.01%  swapper          [kernel.kallsyms]                        [k] update_rq_clock
     0.01%  Xorg             i965_dri.so                              [.] 0x00000000005dea4c
     0.01%  ksoftirqd/2      [kernel.kallsyms]                        [k] task_tick_fair
     0.01%  Xorg             [kernel.kallsyms]                        [k] idr_get_free
     0.01%  ksoftirqd/2      [kernel.kallsyms]                        [k] sock_def_readable
     0.01%  ksoftirqd/2      [kernel.kallsyms]                        [k] update_fast_timekeeper
     0.01%  swapper          [kernel.kallsyms]                        [k] rb_erase_cached
     0.01%  swapper          [kernel.kallsyms]                        [k] read_tsc
     0.01%  ksoftirqd/2      [kernel.kallsyms]                        [k] skb_release_head_state
     0.01%  Xorg             [kernel.kallsyms]                        [k] __kmalloc_node_track_caller
     0.01%  swapper          [kernel.kallsyms]                        [k] timer_clear_idle
     0.01%  swapper          [kernel.kallsyms]                        [k] tick_nohz_idle_enter
     0.01%  ksoftirqd/2      [kernel.kallsyms]                        [k] __free_slab
     0.01%  ksoftirqd/3      [kernel.kallsyms]                        [k] dev_gro_receive
     0.01%  panel-9-cpugrap  libgobject-2.0.so.0.6000.6               [.] g_type_check_instance_is_a
     0.01%  swapper          [kernel.kallsyms]                        [k] timekeeping_advance
     0.01%  xfwm4            [kernel.kallsyms]                        [k] update_curr
     0.01%  iperf3           [kernel.kallsyms]                        [k] rcu_qs
     0.01%  ksoftirqd/1      [kernel.kallsyms]                        [k] __nf_conntrack_find_get
     0.01%  ksoftirqd/2      [kernel.kallsyms]                        [k] net_rx_action
     0.01%  Xorg             [kernel.kallsyms]                        [k] __x64_sys_epoll_ctl
     0.01%  ksoftirqd/1      [kernel.kallsyms]                        [k] free_unref_page_prepare.part.0
     0.01%  ksoftirqd/3      [kernel.kallsyms]                        [k] selinux_peerlbl_enabled
     0.01%  ksoftirqd/0      [kernel.kallsyms]                        [k] skb_copy_header
     0.01%  ksoftirqd/2      [kernel.kallsyms]                        [k] tcp_event_data_recv
     0.01%  iperf3           [kernel.kallsyms]                        [k] __enqueue_entity
     0.01%  Xorg             [kernel.kallsyms]                        [k] reservation_object_reserve_shared
     0.01%  ksoftirqd/0      [kernel.kallsyms]                        [k] page_frag_free
     0.01%  ksoftirqd/2      [kernel.kallsyms]                        [k] memcg_kmem_put_cache
     0.01%  ksoftirqd/0      [kernel.kallsyms]                        [k] read_tsc
     0.01%  ksoftirqd/2      [kernel.kallsyms]                        [k] ip6_rcv_finish
     0.01%  Xorg             [kernel.kallsyms]                        [k] __fget
     0.01%  Xorg             libpthread-2.29.so                       [.] __pthread_mutex_lock
     0.01%  Xorg             libc-2.29.so                             [.] malloc
     0.01%  swapper          [kernel.kallsyms]                        [k] quiet_vmstat
     0.01%  Xorg             [kernel.kallsyms]                        [k] __x64_sys_setitimer
     0.01%  ksoftirqd/0      [kernel.kallsyms]                        [k] netif_receive_skb_internal
     0.01%  ksoftirqd/2      [kernel.kallsyms]                        [k] process_backlog
     0.01%  ksoftirqd/2      [kernel.kallsyms]                        [k] __inc_numa_state
     0.01%  ksoftirqd/1      [kernel.kallsyms]                        [k] nf_conntrack_tcp_packet
     0.01%  Xorg             i965_dri.so                              [.] 0x0000000000202a11
     0.01%  iperf3           [kernel.kallsyms]                        [k] fib6_backtrack
     0.01%  ksoftirqd/1      [kernel.kallsyms]                        [k] rcu_cblist_dequeue
     0.01%  Xorg             Xorg                                     [.] ReadRequestFromClient
     0.01%  swapper          [kernel.kallsyms]                        [k] get_cpu_device
     0.01%  iperf3           [kernel.kallsyms]                        [k] poll_schedule_timeout.constprop.0
     0.01%  Xorg             Xorg                                     [.] BlockHandler
     0.01%  Xorg             [kernel.kallsyms]                        [k] mutex_lock
     0.01%  ksoftirqd/2      [kernel.kallsyms]                        [k] page_frag_free
     0.01%  ksoftirqd/0      [kernel.kallsyms]                        [k] unfreeze_partials.isra.0
     0.01%  Xorg             [kernel.kallsyms]                        [k] reservation_object_test_signaled_rcu
     0.01%  ksoftirqd/0      [kernel.kallsyms]                        [k] tcp_queue_rcv
     0.01%  iperf3           [kernel.kallsyms]                        [k] housekeeping_cpumask
     0.01%  Timer            [kernel.kallsyms]                        [k] avc_has_perm
     0.01%  iperf3           [kernel.kallsyms]                        [k] set_fd_set.part.0
